Name_lang,SourceText_lang,Description_lang,ID,MountTypeID,Flags,SourceTypeEnum,SourceSpellID,PlayerConditionID,MountFlyRideHeight,UiModelSceneID,MountSpecialRiderAnimKitID,MountSpecialSpellVisualKitID
Brown Horse,|cFFFFD200Vendor: |rUnger Statforth|n|cFFFFD200Zone: |rWetlands|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,A favorite among Stormwind's guards thanks to its patience and stamina.,6,230,0,2,458,0,0,4,0,0
Gray Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"This breed of wolf prefers hunting in the fog, relying on its smoky hide to camouflage it from unsuspecting prey.",7,230,64,2,459,0,0,4,0,0
White Stallion,|cFFFFD200Legacy|r,The powerful and unyielding white stallion features heavily in the myths of ancient human tribes.,8,230,64,2,468,0,0,4,0,0
Black Stallion,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Rumored to be favored by SI:7 for night missions due to its dark coat.,9,230,0,2,470,0,0,4,0,0
Pinto,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Its calm temperament makes it ideal to train young children in horseback riding.,11,230,0,2,472,0,0,4,0,0
Black Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Can howl loudly enough to be heard for miles.,12,230,64,2,578,0,0,4,0,0
Red Wolf,|cFFFFD200Legacy|r,Almost none remain in the whole of Azeroth; only the most experienced will have seen one.,13,230,64,2,579,0,0,4,0,0
Timber Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Can howl loudly enough to be heard for miles.,14,230,0,2,580,0,0,4,0,0
Winter Wolf,|cFFFFD200Legacy|r,Ancient furbolg legends claim that wolves born with a white coat are blessed by Azeroth's two moons.,15,230,64,2,581,0,0,4,0,0
Felsteed,|cFFFFD200Class: |rWarlock,Corrupted by demonic power and once forced to serve the Shadow Council.,17,230,0,1,5784,31504,0,4,0,0
Chestnut Mare,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Sturdy and steady; ""the horse that built Stormwind.""",18,230,0,2,6648,0,0,4,0,0
Dire Wolf,|cFFFFD200Vendor:|r Ogunaro Wolfrunner|n|cFFFFD200Location:|r Orgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Once thought to be extinct except in the far north. Highly sought by those preparing for winter.,19,230,0,2,6653,0,0,4,0,0
Brown Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Can howl loudly enough to be heard for miles.,20,230,0,2,6654,0,0,4,0,0
Gray Ram,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Male rams will often smash their thick skulls against each other for hours to impress a female. In that way, they're very similar to dwarves.",21,230,0,2,6777,0,0,4,0,0
Black Ram,|cFFFFD200Legacy|r,"I've not seen this breed in in ages, but when they're ram tough they stick around. -Veron Amberstill",22,230,64,2,6896,0,0,4,0,0
White Ram,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Male rams will often smash their thick skulls against each other for hours to impress a female. In that way, they're very similar to dwarves.",24,230,0,2,6898,0,0,4,0,0
Brown Ram,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Male rams will often smash their thick skulls against each other for hours to impress a female. In that way, they're very similar to dwarves.",25,230,0,2,6899,0,0,4,0,0
Striped Frostsaber,|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"This hearty mount's ferocious appetite earned it the nickname ""Dragon Belly"" in the night elf language.",26,230,0,2,8394,0,0,4,0,0
Emerald Raptor,|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Bred from the fiercest stock anywhere and guaranteed not to bite (much).,27,230,0,2,8395,0,0,4,0,0
Skeletal Horse,|cFFFFD200Legacy|r,"Like most undead creatures, it did not choose its fate.",28,230,64,2,8980,0,0,4,0,0
Spotted Frostsaber,|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n,"This hearty mount's ferocious appetite earned it the nickname ""Dragon Belly"" in the night elf language.",31,230,0,2,10789,0,0,4,0,0
Tiger,|cFFFFD200Legacy|r,,32,230,64,-1,10790,0,0,4,0,0
Striped Nightsaber,|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Considered one of Azeroth's perfect predators, these agile beasts can sprint through dense forests without making a sound.",34,230,0,2,10793,0,0,4,0,0
Ivory Raptor,|cFFFFD200Legacy|r,Bred from the fiercest stock anywhere and guaranteed not to bite (much).,35,230,64,2,10795,0,0,4,0,0
Turquoise Raptor,|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Bred from the fiercest stock anywhere and guaranteed not to bite (much).,36,230,0,2,10796,0,0,4,0,0
Violet Raptor,|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Bred from the fiercest stock anywhere and guaranteed not to bite (much).,38,230,0,2,10799,0,0,4,0,0
Red Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The terradynamic exo-plotters are conjoined by hydraulic imaging to the equilibrium enhancers..."" -Binjy Featherwhistle",39,230,0,2,10873,0,0,4,0,0
Blue Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The terradynamic exo-plotters are conjoined by hydraulic imaging to the equilibrium enhancers..."" -Binjy Featherwhistle",40,230,0,2,10969,0,0,4,0,0
Warhorse,|cFFFFD200Paladin|r|n,Trained to stand firm in righteous combat.,41,230,4,1,13819,27943,0,4,0,0
White Mechanostrider Mod B,|cFFFFD200Legacy|r,"Forced to recall the model after numerous complaints of an ""uncontrollable throttle"", Gnomish engineers now refer to a proto-type blunder as a ""model B"".",42,230,64,2,15779,0,0,4,0,0
Green Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The terradynamic exo-plotters are conjoined by hydraulic imaging to the equilibrium enhancers..."" -Binjy Featherwhistle",43,230,64,2,15780,0,0,4,0,0
Black Nightsaber,|cFFFFD200Legacy|r,"Considered one of Azeroth's perfect predators, these agile beasts can sprint through dense forests without making a sound.",45,230,64,2,16055,0,0,4,0,0
Ancient Frostsaber,|cFFFFD200Legacy|r,The lack of spots or stripes marks this beast as a descendant of the most ancient frostsaber line.,46,230,64,2,16056,0,0,4,0,0
Red Wolf,|cFFFFD200Legacy|r,Almost none remain in the whole of Azeroth; only the most experienced will have seen one.,50,230,64,2,16080,0,0,4,0,0
Arctic Wolf,|cFFFFD200Legacy|r,"Once thought to be nearly extinct, this wolf can still occasionally be seen in the company of a few Horde veterans",51,230,64,0,16081,0,0,4,0,0
Palomino,|cFFFFD200Legacy|r,Human nobles have long favored this majestic breed for its beautiful golden coat and flowing white mane.,52,230,64,2,16082,0,0,4,0,0
White Stallion,|cFFFFD200Legacy|r,The powerful and unyielding white stallion features heavily in the myths of ancient human tribes.,53,230,64,2,16083,0,0,4,0,0
Mottled Red Raptor,|cFFFFD200Legacy|r,Bred from the fiercest stock anywhere and guaranteed not to bite (much).,54,230,64,2,16084,0,0,4,0,0
Winterspring Frostsaber,|cFFFFD200Quest: |rThey Grow Up So Fast|n|cFFFFD200Zone: |rWinterspring,"Taming this savage breed requires patience, strength, and a large supply of fake mice and twine.",55,230,4,1,17229,0,0,4,0,0
Ivory Raptor,|cFFFFD200Legacy|r,Bred from the fiercest stock anywhere and guaranteed not to bite (much).,56,230,64,2,17450,0,0,4,0,0
Green Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The terradynamic exo-plotters are conjoined by hydraulic imaging to the equilibrium enhancers..."" -Binjy Featherwhistle",57,230,0,2,17453,0,0,4,0,0
Unpainted Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The terradynamic exo-plotters are conjoined by hydraulic imaging to the equilibrium enhancers..."" -Binjy Featherwhistle",58,230,0,2,17454,0,0,4,0,0
Icy Blue Mechanostrider Mod A,|cFFFFD200Legacy|r,"This historic piece of gnomish engineering was forced into retirement due to its extremely ""touchy"" gyroscometer.",62,230,64,2,17459,0,0,4,0,0
Frost Ram,|cFFFFD200Legacy|r,"I've not seen this breed in in ages, but when they're ram tough they stick around."""" -Veron Amberstill""",63,230,64,2,17460,0,0,4,0,0
Black Ram,|cFFFFD200Legacy|r,"I've not seen this breed in in ages, but when they're ram tough they stick around. -Veron Amberstill",64,230,64,2,17461,0,0,4,0,0
Red Skeletal Horse,|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The Forsaken believe that without a purpose, even beasts of burden suffer in undeath.",65,230,0,2,17462,0,0,4,0,0
Blue Skeletal Horse,|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The Forsaken believe that without a purpose, even beasts of burden suffer in undeath.",66,230,0,2,17463,0,0,4,0,0
